stage,textbook_index,exam_tags,level,CEFR,主題,english_word,KK音標,中譯,例句,翻譯,例句2,翻譯2,例句3,翻譯3,例句4,翻譯4,例句5,翻譯5,Year_1,Part_1,Source_1,詞性,詞性變化,片語,同義字,反義字,易混淆字,字首,字尾,字根,意思,例子,videoUrl
高中,,106學測,,,,tenderly,/ˋtɛndɚlɪ/,(adv.) 溫柔地,"While she was tenderly bandaging the wound, the kitten purred softly.",當她溫柔地包紮傷口時，小貓輕柔地發出了呼嚕聲。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,,,properly,/ˋprɑpɚlɪ/,(adv.) 適當地,"By next month, the software will have been properly debugged, ensuring smooth operation.",到下個月，這軟體將會被適當地除錯，確保運作順暢。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,,,solidly,/ˋsɑlɪdlɪ/,(adv.) 堅實地,Workers had solidly reinforced the bridge foundations before the floodwaters rose.,在洪水上漲前，工人們已經堅實地加固了橋樑地基。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,,,favorably,/ˋfevərəblɪ/,(adv.) 贊成地,The new policy has been favorably received by the public since its announcement.,自從宣布以來，這項新政策一直受到大眾的贊成。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,C1,,pursue,/pɚˋsu/,(v.) 追求,"He hopes to pursue his dreams; however, funding is a major obstacle.",他希望能追求夢想；然而，資金是個主要障礙。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,swear,/swɛr/,(v.) 發誓,"Though she tried to lie, her shaking voice swore otherwise.",儘管她試圖說謊，但她顫抖的聲音卻發誓說不是。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B1,,reserve,/rɪˋzɝv/,(v.) 預留,"If you reserve tickets online, you will avoid long queues; otherwise, expect delays.",如果你上網預訂門票，你將避免排長隊；否則，請預期會有延誤。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,draft,/dræft/,(v.) 起草,"She must first draft an outline; subsequently, she will write the full report.",她必須先起草一個大綱；接著，她將撰寫完整的報告。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,native,/ˋnetɪv/,(adj.) 本地的,"Living in Taiwan for years, he felt like a native, understanding local culture.",在台灣住了多年，他感覺自己像個本地人，了解當地文化。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,tricky,/ˋtrɪkɪ/,(adj.) 狡猾的,"Being tricky, the politician avoided direct answers, confusing reporters.",因為狡猾，那位政治家避開直接回答，讓記者感到困惑。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,remote,/rɪˋmot/,(adj.) 遙遠的,"The remote observatory, a project of theirs, requires much funding.",這個遙遠的天文台，他們的專案之一，需要大量資金。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,vacant,/ˋvekənt/,(adj.) 空的,"After the 家庭 moved out, their house stood vacant for months, prompting its sale.",那家人搬走後，他們的房子空了數月，促使它被出售。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,C1,,appoint,/əˋpɔɪnt/,(v.) 任命,They plan to appoint him to the board of directors next month.,他們計劃下個月任命他進入董事會。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,C1,,eliminate,/ɪˋlɪmə͵net/,(v.) 消除,Measures were taken to eliminate errors in data by meticulous review.,採取了措施，通過仔細審查來消除數據中的錯誤。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,occupy,/ˋɑkjə͵paɪ/,(v.) 佔領,"The large castle, which had been abandoned, was eventually occupied by rebels.",那座已被廢棄的大城堡，最終被反叛軍佔領。,,,,,,,,,,,,,,,,,,,,,,,
高中,,106學測,,B2,,identify,/aɪˋdɛntə͵faɪ/,(v.) 識別,"The witness, who clearly identified the suspect, provided crucial testimony.",那位清楚識別了嫌疑犯的證人，提供了關鍵證詞。,,,,,,,,,,,,,,,,,,,,,,,
